Date,Curation_Request,Author_Submitted,Other
2004-02-01,0,0,21239
2004-03-01,0,0,21350
2004-04-01,0,0,21834
2004-05-01,0,0,26478
2004-06-01,0,95,28580
2004-07-01,0,386,29161
2004-08-01,0,386,31358
2004-09-01,0,386,31691
2004-10-01,0,386,31770
2004-11-01,0,2230,33786
2004-12-01,0,4051,36014
2005-01-01,0,4051,36328
2005-02-01,0,4051,36375
2005-03-01,0,4051,36631
2005-04-01,0,4051,37106
2005-05-01,0,4051,37827
2005-06-01,0,4051,38108
2005-07-01,0,4051,39521
2005-08-01,0,4051,40653
2005-09-02,0,4051,41154
2005-10-01,0,4051,42495
2005-11-01,0,4051,46196
2005-12-01,0,4051,49797
2006-01-01,0,30153,76599
2006-02-07,0,30153,76831
2006-03-06,0,30153,84338
2006-03-13,0,30153,96646
2006-04-02,0,30153,97292
2006-05-09,0,30153,98648
2006-05-26,0,30153,98651
2006-06-02,0,30153,98897
2006-07-07,0,30195,101130
2006-08-18,0,30195,101587
2006-09-01,0,30195,101827
2006-09-08,0,30195,101949
2006-09-15,0,30195,102054
2006-09-22,0,30195,102927
2006-09-29,0,30195,103120
2006-10-06,0,30195,103196
2006-10-13,0,30195,103817
2006-10-26,0,30195,104920
2006-11-03,0,30645,114228
2006-11-10,0,30645,114263
2006-11-17,0,30645,114745
2006-11-24,0,30645,115215
2006-12-04,0,30645,115394
2006-12-08,0,30645,115410
2006-12-16,0,30645,115892
2007-01-12,0,30645,116037
2007-01-19,0,30645,116041
2007-01-26,0,30645,116158
2007-02-02,0,30645,116182
2007-02-09,0,30645,116328
2007-02-16,0,30645,116517
2007-02-23,0,30645,116608
2007-03-09,2,31471,118047
2007-03-16,2,31471,118098
2007-03-23,2,37957,124745
2007-03-30,2,37957,125025
2007-04-13,11,37957,125615
2007-04-20,11,37957,125669
2007-04-27,14,37957,125735
2007-05-04,14,37957,126987
2007-05-14,14,37957,127178
2007-05-18,14,37957,127343
2007-05-25,32,37957,127408
2007-06-08,32,37957,127567
2007-06-15,72,37957,127830
2007-06-22,86,37957,127923
2007-07-08,86,37957,128164
2007-07-13,86,50017,140255
2007-07-20,86,50017,140344
2007-07-27,86,50017,140475
2007-08-24,91,50884,142066
2007-08-31,95,50884,142126
2007-09-07,95,50884,142210
2007-09-14,95,50884,142232
2007-09-24,95,51762,143384
2007-09-28,95,51762,143698
2007-10-12,95,51762,144339
2007-10-19,95,51762,144540
2007-10-26,95,51762,144611
2007-11-16,95,51762,145073
2007-11-23,95,51762,145345
2007-11-30,151,51762,145607
2007-12-07,151,51762,145772
2007-12-14,151,51762,146092
2008-01-04,151,51762,146272
2008-01-25,151,51762,150056
2008-02-08,151,51762,150455
2008-02-15,151,51762,150554
2008-02-25,154,51762,150780
2008-02-29,154,51855,150907
2008-03-14,154,51855,151184
2008-03-28,155,51855,151403
2008-04-11,155,51855,151462
2008-05-03,207,52359,152255
2008-05-16,207,52954,153830
2008-05-23,207,52954,153932
2008-05-30,207,52954,153961
2008-06-06,207,56647,157783
2008-06-13,207,56647,157970
2008-06-20,211,56647,158074
2008-06-27,211,56647,158112
2008-07-04,211,56647,158161
2008-07-11,211,56647,158355
2008-07-25,211,56647,158625
2008-08-22,228,56675,159094
2008-10-03,228,56675,161064
2008-10-17,228,56675,161525
2008-10-31,228,56675,162085
2008-11-07,228,56675,162227
2008-11-28,228,56675,162743
2008-12-12,228,56675,166425
2009-01-09,287,57240,167305
2009-01-16,287,57240,167576
2009-01-23,287,57694,168295
2009-02-06,299,57694,168756
2009-02-20,318,57694,169304
2009-03-06,318,57694,169552
2009-04-03,318,57694,169954
2009-04-17,328,57694,170130
2009-05-05,328,57709,170367
2009-05-15,328,57903,170814
2009-06-01,2133,58483,173327
2009-06-12,2634,58483,174106
2009-06-19,2634,58483,174108
2009-07-10,2637,59570,175347
2009-07-17,2641,59977,175915
2009-07-31,2641,59977,176083
2009-08-21,6431,59977,180403
2009-09-04,6431,59977,180784
2009-09-18,6431,59977,181301
2009-10-09,6431,60046,181871
2009-10-30,6431,60046,182340
2009-11-27,6462,60046,182728
2010-01-01,6882,60046,183517
2010-01-15,8468,61401,186775
2010-01-22,8468,61580,187166
2010-02-12,8468,61580,188028
2010-03-19,8468,61977,188964
2010-04-23,8468,64519,192725
2010-05-07,8468,64638,193587
2010-05-24,8468,64638,193953
2010-06-18,8468,64638,195579
2010-07-23,8468,66884,198283
2010-07-30,8468,66884,198661
2010-08-05,8468,66884,198735
2010-08-18,8468,66986,199030
2010-09-03,8468,75666,207771
2010-10-07,8468,76521,209399
2010-11-03,8468,76557,209817
2010-11-11,8468,76557,209819
2010-12-03,8480,77520,211174
2010-12-15,8480,77540,215544
2011-01-10,8480,81372,219436
2011-02-01,8480,81709,220573
2011-02-22,8480,81709,220853
2011-03-03,8480,82085,221763
2011-04-01,8480,82862,245387
2011-04-19,8513,83268,246665
2011-06-17,8513,83268,247692
2011-07-27,8513,83268,249114
2011-08-18,8513,83376,249503
2011-09-14,8513,86786,255297
2011-10-03,8513,87247,256614
2011-10-28,8513,93948,267505
2011-11-21,8513,94263,269950
2012-01-09,8519,94263,270619
2012-02-11,8519,94263,271725
2012-03-21,8519,94263,272770
2012-05-01,8519,94518,274118
2012-06-15,8519,94543,276642
2012-07-19,8519,96236,279332
2012-08-20,8519,96236,284355
2012-10-11,8519,97120,287747
2012-11-13,8519,97120,288068
2012-11-14,8519,97285,288669
2012-12-17,8519,97457,290754
2013-02-01,8519,98569,293000
2013-02-28,8519,99223,294986
2013-03-27,8519,100185,296604
2013-04-13,8519,101351,297888
2013-05-03,8519,102410,299162
2013-06-10,8519,102507,300916
2013-06-19,8519,102927,301765
2013-06-26,8519,119843,318774
2013-08-02,8519,119843,319558
2013-08-09,8519,119897,319969
2013-09-02,8519,119928,389433
2013-09-30,8527,119928,390853
2013-10-11,8527,121098,392352
2013-10-28,8527,122277,394058
2013-11-22,8726,122290,395818
2014-01-10,8830,122770,398045
2014-02-18,8830,125340,402758
2014-03-10,8830,125896,404363
2014-03-31,8830,127437,406363
2014-04-14,8830,127437,406459
2014-05-01,8830,128755,408018
2014-06-09,8830,128755,409635
2014-07-21,8830,131574,415046
2014-09-18,8842,131574,416994
2014-10-20,8842,132117,417875
2014-11-12,8842,147510,433892
2014-12-22,8901,147874,436191
2015-01-22,8901,148631,437974
2015-02-25,8905,192958,483518
2015-04-10,8905,194544,487058
2015-06-15,8925,195520,489937
2015-06-29,8925,195520,490154
2015-08-25,8928,195520,492271
2015-10-21,8928,226562,525156
2015-12-02,8928,233855,537560
2016-01-13,8929,234284,538578
2016-01-19,8929,234828,539142
2016-02-22,8946,240976,546968
2016-04-11,8946,243664,551510
2016-06-22,8946,244039,558641
2016-07-13,8946,244039,558793
2016-08-03,8946,408829,728995
2016-09-13,8946,411065,732010
2016-10-14,8946,411131,732476
2016-12-19,8969,415149,737274
2017-01-31,9900,417431,741159
2017-03-13,9920,440001,764855
2017-04-10,9920,442063,767394
2017-06-08,9929,442270,770244
2017-07-12,9929,459132,787874
2017-08-31,9929,459132,833331
2017-09-05,9929,459751,834615
2017-11-14,9929,459751,840099
2017-12-18,9929,460201,841904
2018-02-14,9929,460201,844699
2018-03-27,9929,469013,855104
2018-05-16,9929,469209,868331
2018-06-22,9929,469861,876527
2018-08-08,9929,471269,884222
2018-09-10,9929,472366,885445
2018-10-08,9929,473358,888219
2018-11-05,9929,473358,889069
2018-12-04,9929,475988,899337
2019-02-15,9929,476362,902235
2019-03-25,9929,479706,909343
2019-05-09,9929,485449,916156
2019-07-22,9929,485465,979794
2019-08-30,9929,488912,983731
2019-10-03,9929,489693,985868
2019-11-20,9929,489842,991737
2019-12-19,9929,489849,1004237
2020-02-03,9941,497362,1012411
2020-03-13,9941,497362,1014672
2020-04-03,9941,497362,1019026
2020-05-04,9956,504304,1028114
2020-07-09,9960,506143,1032203
2020-09-28,10148,507099,1087666
2020-11-11,10148,508226,1091806
2020-12-23,10148,509788,1099143
2021-03-15,10148,527582,1124896
2021-05-18,10159,528202,1129068
2021-07-12,10268,529937,1134295
2021-10-13,10268,529937,1146168
